model,N,M,C_global,C_avg,L,D,Assortativity,is_connected,p,k,seed
Watts-Strogatz,1000,5000,0.6666666666666666,0.6666666666666666,50.450450450450454,100,,True,0.0001,10,9
Watts-Strogatz,1000,5000,0.6647409119189406,0.664830303030303,27.497167167167166,72,-0.025082006558923006,True,0.001,10,0
Watts-Strogatz,1000,5000,0.6653556429571362,0.665430808080808,30.988742742742744,75,-6.000360269631951e-05,True,0.001,10,1
Watts-Strogatz,1000,5000,0.6634673065386922,0.6637343434343433,19.589963963963964,42,-0.011293143876747489,True,0.001,10,2
Watts-Strogatz,1000,5000,0.6651408763665452,0.6652595959595959,25.52046246246246,56,-8.000640134107866e-05,True,0.001,10,3
Watts-Strogatz,1000,5000,0.6648742334014754,0.664970707070707,27.159083083083082,66,-8.000640134107866e-05,True,0.001,10,4
Watts-Strogatz,1000,5000,0.664044794027463,0.6641949494949495,28.985035035035036,78,-0.00012001440200347355,True,0.001,10,5
Watts-Strogatz,1000,5000,0.6638448206905746,0.6639782828282828,25.503133133133133,59,-0.00012001440200347355,True,0.001,10,6
Watts-Strogatz,1000,5000,0.6636153572698187,0.6638525252525252,20.78005005005005,53,-0.00016002560430727458,True,0.001,10,7
Watts-Strogatz,1000,5000,0.6656370827963202,0.6656686868686867,34.46613013013013,89,0.049961998476468095,True,0.001,10,8
Watts-Strogatz,1000,5000,0.6658370739078263,0.6658909090909091,32.5675035035035,87,0.049961998479452985,True,0.001,10,9
Watts-Strogatz,1000,5000,0.654230512991339,0.6549654401154401,11.91571971971972,28,0.00940564338614576,True,0.005,10,0
Watts-Strogatz,1000,5000,0.6602172512606349,0.6607060606060605,15.747579579579579,38,-0.0003342157089746561,True,0.005,10,1
Watts-Strogatz,1000,5000,0.6567830490405118,0.6574484848484847,11.608184184184184,25,0.016194439998028734,True,0.005,10,2
Watts-Strogatz,1000,5000,0.6587885115173593,0.6592757575757575,13.911841841841841,34,-0.01617562041990349,True,0.005,10,3
Watts-Strogatz,1000,5000,0.6548591987207959,0.6556297979797979,11.154406406406407,29,0.0030131159160890313,True,0.005,10,4
Watts-Strogatz,1000,5000,0.657145395584381,0.6577641414141414,12.289411411411411,26,-0.02772492624014649,True,0.005,10,5
Watts-Strogatz,1000,5000,0.6517220704816468,0.6524818181818182,11.033837837837838,27,0.011468781517237174,True,0.005,10,6
Watts-Strogatz,1000,5000,0.6561167377398721,0.6567419191919192,12.50864064064064,27,0.03328537753364511,True,0.005,10,7
Watts-Strogatz,1000,5000,0.6522926612634617,0.6532080808080808,10.479667667667668,24,0.007809953083565784,True,0.005,10,8
Watts-Strogatz,1000,5000,0.6615941707024481,0.6620085858585858,17.60083883883884,43,0.013715647926008361,True,0.005,10,9
Watts-Strogatz,1000,5000,0.6410358830969975,0.642561038961039,8.384518518518519,18,-0.02023675186987823,True,0.01,10,0
Watts-Strogatz,1000,5000,0.65020758864146,0.6512929292929294,9.62349149149149,20,0.008878413856553856,True,0.01,10,1
Watts-Strogatz,1000,5000,0.6391150953025495,0.6408824675324676,7.882700700700701,17,-0.004311546666555916,True,0.01,10,2
Watts-Strogatz,1000,5000,0.649003241131288,0.6502546897546897,9.510394394394394,20,-0.0030967620646064494,True,0.01,10,3
Watts-Strogatz,1000,5000,0.6417966756174963,0.6433361471861472,7.941661661661661,16,-0.004460258643664266,True,0.01,10,4
Watts-Strogatz,1000,5000,0.6485424391110322,0.6495686868686869,9.656846846846847,20,-0.037436063425603225,True,0.01,10,5
Watts-Strogatz,1000,5000,0.6386108953733496,0.6401556998556999,7.856892892892893,16,-0.015165869476429516,True,0.01,10,6
Watts-Strogatz,1000,5000,0.6453732270880962,0.6466949494949494,9.289091091091091,19,-0.014122638242712203,True,0.01,10,7
Watts-Strogatz,1000,5000,0.6426669034090909,0.6440005772005771,8.443711711711712,19,0.00777562499488353,True,0.01,10,8
Watts-Strogatz,1000,5000,0.6438416975562116,0.6450879509379509,8.567505505505505,18,-0.004894178529624816,True,0.01,10,9
Watts-Strogatz,1000,5000,0.5582258349531719,0.5642419635919635,5.089871871871872,9,-0.0006679049374184743,True,0.05,10,0
Watts-Strogatz,1000,5000,0.5710528642149929,0.57634995004995,5.265997997997998,10,-0.022087637364758876,True,0.05,10,1
Watts-Strogatz,1000,5000,0.5664229061264168,0.5722091186591186,5.150042042042042,9,0.008405310215116247,True,0.05,10,2
Watts-Strogatz,1000,5000,0.5660802687411598,0.5718822788322788,5.2008788788788785,9,-0.012653438219108889,True,0.05,10,3
Watts-Strogatz,1000,5000,0.5745711001061196,0.5802101287601288,5.297353353353353,9,-0.0003236241572622574,True,0.05,10,4
Watts-Strogatz,1000,5000,0.5679527976664015,0.5737835775335774,5.2077337337337335,9,-0.0022628515104478673,True,0.05,10,5
Watts-Strogatz,1000,5000,0.5596545097086306,0.565751714951715,5.1117997997998,9,0.013059157123868308,True,0.05,10,6
Watts-Strogatz,1000,5000,0.5661178030721626,0.571561544011544,5.190406406406407,10,-0.009931754099660082,True,0.05,10,7
Watts-Strogatz,1000,5000,0.570535063098106,0.5764652014652014,5.245147147147147,10,-0.015696371211080064,True,0.05,10,8
Watts-Strogatz,1000,5000,0.5657900552486188,0.5717548507048507,5.2031211211211215,9,0.0053688606085018015,True,0.05,10,9
Watts-Strogatz,1000,5000,0.48496711900939143,0.4929603563103563,4.45206006006006,7,-0.006102680220861136,True,0.1,10,0
Watts-Strogatz,1000,5000,0.483945458544095,0.49301992451992455,4.425637637637638,7,-0.010284786963957016,True,0.1,10,1
Watts-Strogatz,1000,5000,0.4712214411247803,0.4822808413808414,4.3763883883883885,7,-0.026997052430998723,True,0.1,10,2
Watts-Strogatz,1000,5000,0.4900653508482408,0.49805854145854145,4.486930930930931,8,-0.03273063467477941,True,0.1,10,3
Watts-Strogatz,1000,5000,0.4757633713645057,0.484890293040293,4.421529529529529,7,-0.021403810115340743,True,0.1,10,4
Watts-Strogatz,1000,5000,0.47413906847869114,0.4816758907758908,4.396432432432433,7,-0.018621020384833754,True,0.1,10,5
Watts-Strogatz,1000,5000,0.4811538715426761,0.4895866133866134,4.4385605605605605,7,-0.015055654602125915,True,0.1,10,6
Watts-Strogatz,1000,5000,0.47321938573751043,0.4812029304029304,4.395013013013013,7,-0.052696333044578623,True,0.1,10,7
Watts-Strogatz,1000,5000,0.48079968329374506,0.49022895437895436,4.419295295295295,7,-0.008982800956407511,True,0.1,10,8
Watts-Strogatz,1000,5000,0.4680888459256981,0.47774957264957263,4.381803803803804,7,-0.0069067933188047955,True,0.1,10,9
Watts-Strogatz,1000,5000,0.08915009813123986,0.09435524214347744,3.3836516516516517,5,-0.04948586789002447,True,0.5,10,0
Watts-Strogatz,1000,5000,0.08490987635930285,0.08968576586811881,3.379339339339339,5,-0.04513900512132812,True,0.5,10,1
Watts-Strogatz,1000,5000,0.08902762336440606,0.09405322830764007,3.388868868868869,5,-0.015590989070418487,True,0.5,10,2
Watts-Strogatz,1000,5000,0.0774980833120368,0.08194546238075649,3.3725485485485485,5,0.0028892224319011115,True,0.5,10,3
Watts-Strogatz,1000,5000,0.08783711529824412,0.090675666000666,3.3877357357357356,5,-0.057643542075167975,True,0.5,10,4
Watts-Strogatz,1000,5000,0.08730970960726621,0.09127137862137862,3.3851871871871873,5,-0.03329935008736855,True,0.5,10,5
